"V1" "V2" "V3" "V4" "V5"
"1" 50.3542829380186 100 35.8739704572606 848.36303769514 3
"2" 60.6836599442558 55.6032652561114 14.7123127728387 1000 6
"3" 49.612247171575 100 74.5566562071272 349.529327835401 8
"4" 100.80524741381 100 8.25114476204676 225.3024264154 9
"5" 109.831168111711 100 7.12478131636497 102.914261830371 13
"6" 57.0096753797463 100 96.3328880212322 253.971975970066 14
"7" 103.7055968385 100 1.16195676308293 338.461653066083 16
"8" 80.251882379864 100 21.294828806979 130.084263819661 17
"9" 76.6168592768491 100 10.5284420848146 499.070271308431 23
"10" 83.3339280976691 100 26.857797448183 158.021283892816 27
"11" 83.5763838596135 100 58.9590895861034 56.0066759183057 28
"12" 49.9903111964772 71.0566392360565 19.9065789495426 1000 29
"13" 76.3944771218992 100 33.4806608827459 138.944520220625 30
"14" 122.586116881704 100 2.38681055080172 166.591620698791 32
"15" 64.6729175077878 100 30.2267927525243 418.690847029077 33
"16" 101.670762685865 100 4.51333273836597 228.460800615803 34
"17" 42.9108086441861 100 35.0201638079967 1000 36
"18" 80.2475152764279 100 30.4195885078691 160.27087452755 37
"19" 87.2825305192655 100 4.35238459223716 501.397939167394 39
"20" 53.1163952006482 100 42.0116811210854 652.25466978027 40
"21" 94.4100434444702 100 10.8301437498616 265.148554354138 43
"22" 64.8112968365157 100 13.4538624704394 632.745193782406 44
"23" 80.8847179958586 100 7.56166281501464 503.900131683252 47
"24" 64.278985410121 20.9178929537903 9.0348131085119 1000 48
"25" 78.8603591097621 100 10.6868706648325 500.245074255862 51
"26" 75.4884887052518 100 16.7287813070814 281.658433010113 54
"27" 87.9535753540492 100 10.5645165896705 276.253546987013 55
"28" 78.8220341836042 100 24.1820732461529 214.574200289774 56
"29" 99.0914571640633 100 9.86874312165759 192.642902288909 58
"30" 100.399581550058 100 12.2224458402086 165.93705515623 60
"31" 86.5248874316999 100 23.062653702048 106.072507900836 61
"32" 86.1327403683209 100 1.64544961310277 505.622242084476 62
"33" 63.4872835830767 100 4.77675048892018 947.831222181802 63
"34" 96.5074726639342 100 21.3731791067649 99.1400726402269 64
"35" 98.239240227128 100 12.9896956530658 123.012176339951 65
"36" 97.2253233749971 100 4.80988766224022 339.08719155887 66
"37" 62.7750733719784 100 27.8568530450077 210.252964729674 67
"38" 105.693578937183 100 17.2558700185661 71.4809766358526 68
"39" 63.6436709902346 100 19.7159088692001 571.175110592439 70
"40" 75.5087605480462 100 18.4932459401924 216.091395111864 71
"41" 51.8309306061535 54.3711028119614 24.3407886567598 1000 73
"42" 81.28950711695 100 23.1351759354967 200.285691344004 76
"43" 57.0964311908451 100 98.7652942468559 201.987058455953 79
"44" 46.0895737819872 76.2685455352762 37.2910356510757 1000 80
"45" 72.6360608616531 100 22.5563920651492 369.343086363874 83
"46" 85.9347755440891 100 8.94502053174985 362.890550624556 86
"47" 84.1211292319714 100 16.2011390889575 257.148145720748 87
"48" 52.0998939078072 100 41.8122478441778 635.98130734324 88
"49" 110.732365366237 100 8.4807134609688 103.927771459754 90
"50" 116.465799958315 100 0.802599056179792 220.299811234227 91
"51" 79.4108945372073 100 9.53174017300788 282.726713422021 93
"52" 45.564107488525 100 34.6809244076299 1000 95
"53" 60.6067834839298 100 27.2074122585819 580.722856199837 96
"54" 79.6915661921087 100 15.937697861919 355.401272222889 97
"55" 81.695341907194 100 18.7665040283118 297.625926166511 98
"56" 83.7521876956251 100 12.7072355923046 354.438828775158 100
"57" 71.1820513981855 100 67.730325312659 88.7031862021128 104
"58" 77.9925851133098 100 24.7417489310938 224.825875673622 107
"59" 53.7407531549189 95.0499981630993 10.807670875487 1000 111
"60" 94.7597314281919 100 18.0717966023107 76.1786533272713 114
"61" 42.2329234578063 100 15.4995755961355 184.499916097662 115
"62" 93.3785991144966 100 9.46607976132815 297.898689135929 117
"63" 48.5281116127929 79.9009536419833 27.3580333454158 1000 118
"64" 65.8154921506698 59.9603533716928 3.98300188557747 1000 120
"65" 92.6658908110006 100 12.9726588323208 216.339378955541 124
"66" 79.7528503401233 100 3.60350013769456 505.791834861981 128
"67" 85.7503449010695 100 3.01801423015395 585.445109211291 130
"68" 41.3280325902709 100 47.2298556786252 1000 131
"69" 67.4810000966288 100 10.3062000137929 422.179615882224 201
"70" 73.1106564502899 100 19.8542350444862 91.1695102528583 203
"71" 53.6810215964845 100 42.1927570538864 577.339260904431 207
"72" 97.965433813657 100 1.09356725242201 395.215567605219 210
"73" 69.0493489516791 100 9.73380658482898 661.048336744414 218
"74" 78.3373848233185 100 9.91301387251288 356.904380807247 219
"75" 59.0569967992797 100 25.0613975794177 586.308564727028 221
"76" 113.778154376107 100 5.84556776858378 155.785709823687 223
"77" 81.3513172014634 100 5.44196724327917 591.136574630732 225
"78" 79.9707244662712 100 12.7864460258789 395.456362539362 226
"79" 105.705241833209 100 3.79788727069176 193.237690793531 229
"80" 77.9851033008839 100 56.1472692738239 56.2609750159108 232
"81" 78.3729404258276 100 7.07608476911964 499.340706296396 236
"82" 40.873284184277 50.5357178137089 71.2161502474832 1000 237
"83" 70.8986164196774 100 52.5051321850062 144.412388324029 238
"84" 108.423255064876 100 2.36690589022516 289.108705989117 243
"85" 86.9117868425038 100 2.62265453529848 459.617120390177 244
"86" 90.8138331983495 100 14.5450926242193 214.886011313985 245
"87" 48.460601986787 100 20.909733893652 768.873029921204 247
"88" 80.7260690982102 100 41.1135699241409 66.2489645496156 249
"89" 94.6003174936481 100 12.3954488213121 261.948494587365 250
"90" 50.3886833833145 51.4910728442765 28.0033979651302 1000 252
