"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 94.0795256285268 100 23.3578605785181 270.402101268929 260.47569120712 0.01 0.01 3
"2" 71.6774015807932 100 11.0852802665383 500 211.262560598129 0.01 0.01 6
"3" 60.7512306878679 100 17.9305063480893 216.021319826655 405.07610289113 0.01 0.01 8
"4" 206.787422085404 16.7010121780887 6.83195946102332 32.0714241704395 74.6080184810317 0.01 0.01 9
"5" 98.9134002067277 100 7.61446266948497 159.211375860435 210.318449751643 0.01 0.01 13
"6" 104.687364487109 100 44.4757128924459 305.761568342037 1 0.01 0.01 14
"7" 60.1270290870833 100 42.3884286295101 443.947317269957 307.780866636028 0.01 0.01 16
"8" 146.184745925397 58.2711602261958 4.78137545468019 247.140503374058 113.076312025697 0.01 0.01 17
"9" 194.77854371204 4.81684417746841 9.71856782072096 63.4290933093246 91.2756167540109 0.01 0.01 23
"10" 79.7568831818106 100 31.9740653315986 335.565123467011 160.087937667987 0.01 0.01 27
"11" 153.148784634076 54.7285972293104 18.1345623786037 69.4490529007454 178.337304717192 0.01 0.01 28
"12" 89.3088315665983 51.1822234698131 7.88737295961837 39.7202043790186 500 0.01 0.01 29
"13" 96.4859786663007 100 3.80913164076387 322.92451467299 279.502309361728 0.01 0.01 30
"14" 137.155571507459 79.827703449519 23.8466668549368 40.3204725050308 257.962709254419 0.01 0.01 32
"15" 172.907425287152 28.5526128275601 13.2214338810315 143.599861821449 1 0.01 0.01 33
"16" 98.0051796353164 51.5801436838597 9.93349419990076 208.740289041047 500 0.01 0.01 34
"17" 208.347539991699 25.5575819673586 4.17490172927735 36.0871514288831 28.4336203393178 0.01 0.01 36
"18" 171.114088509396 57.2751695103951 9.22605402444517 55.9290914468816 117.922912790412 0.01 0.01 37
"19" 101.406454500172 100 23.9607004792511 119.508514076929 262.442858300222 0.01 0.01 39
"20" 87.5943038286527 100 5.52749145597336 439.491555589512 409.424859041408 0.01 0.01 40
"21" 131.685072466172 54.2143636334541 27.9998829953299 295.33843302464 144.234629094981 0.01 0.01 43
"22" 80.0130821104847 66.314396139863 15.2289463564424 33.9316586706303 500 0.01 0.01 44
"23" 113.215283264076 67.7232580909621 19.7249059350617 500 57.4568733043647 0.01 0.01 47
"24" 76.5319272421749 41.8669164386765 25.9216860444217 78.2495224045271 500 0.01 0.01 48
"25" 138.89683492637 100 18.4931153824118 195.366965835417 52.3140178894863 0.01 0.01 51
"26" 93.3615683480527 100 28.2024142772019 197.564797009874 177.92291430716 0.01 0.01 54
"27" 67.2173691398907 89.3969774184592 60.5440781853126 500 159.800340630239 0.01 0.01 55
"28" 230.467664230314 15.3466820902957 2.98603269247667 23.7131902002567 31.5879837144888 0.01 0.251248989163228 56
"29" 150.881674354038 59.6715044277083 19.0346995030463 97.7564647692489 100.315870124228 0.01 0.01 58
"30" 222.296109407974 34.6951248873191 2.17575631250037 67.7806676469387 1 0.01 0.01 60
"31" 56.7231201497436 14.9424310754433 39.3856217458336 500 500 0.01 0.01 61
"32" 70.7635986531669 19.1095804682714 66.1200994876831 500 500 0.01 0.01 62
"33" 58.7455428880441 32.024441712916 43.2975020320253 369.17486334431 500 0.01 0.01 63
"34" 93.0763942796995 33.7528506036571 10.895734141674 500 208.98555028853 0.01 0.01 64
"35" 102.039560083277 44.8186422984441 54.9539448100874 500 500 0.01 0.01 65
"36" 146.586092753624 64.9132096588464 14.6467621959719 130.120474652194 181.097351397974 0.01 0.01 66
"37" 170.213956861578 12.2632110654358 5.27655935681718 42.2209839253837 5.9024383740061 0.01 0.120374302499331 67
"38" 68.6580656476918 100 28.9750084029294 1 500 0.01 0.01 68
"39" 179.63717530703 36.9244100064918 2.37131363154067 39.7139112864313 254.682890463939 0.01 0.01 70
"40" 77.4844161179611 100 3.08647194508229 455.775049140867 167.090546660556 0.01 0.01 71
"41" 97.4509073225145 100 40.0393316153178 270.644956372433 196.461949467427 0.01 0.01 73
"42" 100.694570250405 49.2527801111578 47.5529353428236 500 308.157690129665 0.01 0.01 76
"43" 101.682905392393 100 10.8550884590852 193.522395275577 186.274835528351 0.01 0.01 79
"44" 71.5792728115395 58.191151529717 24.3746344738842 85.4491268226117 500 0.01 0.01 80
"45" 66.9233789118216 69.9534678398935 66.3789379522571 500 186.35522279789 0.01 0.01 83
"46" 261.367994675485 7.31759397509126 1.22002321394768 30.2510447226253 13.3842083767209 0.01 0.01 86
"47" 211.985896762896 9.19728489929694 5.1913945059712 57.6814546287556 52.4077019855173 0.01 0.01 87
"48" 76.0973743384907 100 20.6613946615575 241.13563539276 315.26980315516 0.01 0.01 88
"49" 40.7076685411066 74.2942055961728 93.8104001009787 500 500 0.01 0.01 90
"50" 53.2031472897947 47.8383126274634 50.8664216457914 500 500 0.01 0.01 91
"51" 150.918003851424 27.9434242378327 9.34481255626162 192.55915465503 1 0.01 0.01 93
"52" 124.862350362715 52.8776835944078 14.8196681564842 500 193.836370262556 0.01 0.01 95
"53" 72.0474595672308 100 38.6381237468224 152.009468196762 500 0.01 0.01 96
"54" 141.55373120286 79.1202793451067 17.5380556324575 150.66070398968 188.461914259861 0.01 0.01 97
"55" 166.092793977642 57.4017356455149 13.178227553543 65.6142213562875 77.4281774352366 0.01 0.01 98
"56" 92.8912601360915 100 15.4999568668538 277.212048192447 307.929008710781 0.01 0.01 100
"57" 151.107227201263 53.9130323422343 12.8194662410658 24.8330651206399 213.769638319688 0.01 0.01 104
"58" 80.1517449055947 100 17.1437272646636 248.048168651444 157.924666916551 0.01 0.01 107
"59" 128.963474568826 15.784184449612 23.0540050908806 342.551239273775 278.521791769104 0.01 0.01 111
"60" 101.881672751096 100 37.9127650457722 363.854369413806 238.464620804167 0.01 0.01 114
