"V1" "V2" "V3" "V4" "V5" "V6" "V7"
"1" 52.4601509453317 61.2969308606927 43.0512430072353 499.172605686619 500 0.01 3
"2" 57.9407666438638 100 37.1642287823186 123.747236210137 450.128275909603 0.01 6
"3" 80.9502287514805 100 14.71576074961 122.348809109124 56.4119796868212 0.01 8
"4" 51.2700296136201 100 33.562544084274 500 464.188928496096 0.01 9
"5" 69.1459660166998 38.8122181598753 11.6023952540829 500 500 0.01 13
"6" 63.6145622045368 67.9591070568248 39.1772406883785 132.145572503301 500 0.01 14
"7" 58.37373944003 100 82.0494351538744 248.359718241825 24.9967947160191 0.01 16
"8" 58.7782419573573 100 21.8351849307691 389.881669788314 246.142513422224 0.01 17
"9" 67.0954189576622 82.4607280283524 33.3003424004504 36.7574913077606 500 0.01 23
"10" 55.4359890530893 100 43.0925310343118 500 134.34396479686 0.01 27
"11" 63.0387808652389 28.5811298962588 41.479692872206 333.327225899181 500 0.01 28
"12" 69.0695548992219 38.8541961660997 19.2387968312322 186.618843752927 500 0.01 29
"13" 54.8139915050003 49.0760871963418 23.1818908075763 500 500 0.01 30
"14" 68.2653707931353 100 23.8633644830282 162.901476938282 350.633662976638 0.01 32
"15" 49.7776771623092 100 45.4244906268344 439.051422956779 370.371834206356 0.01 33
"16" 65.1392341125232 100 3.27603389300306 500 500 0.01 34
"17" 54.4708771398548 100 36.3040466786352 356.443410633361 238.577762266899 0.01 36
"18" 61.9858739869686 100 18.7402138449829 342.816556443473 500 0.01 37
"19" 69.2129250845327 28.9099863281815 30.7072696342666 500 127.272451606556 0.01 39
"20" 78.605798795221 100 17.4833676768939 271.104360125974 93.5560921033288 0.01 40
"21" 83.0518115474651 76.9141338027683 6.29810613286182 173.660371486983 500 0.01 43
"22" 96.6772591885499 100 6.62791586622071 15.2301830467531 253.575960116988 0.01 44
"23" 81.6175626712982 100 16.2148021656024 166.298866197139 203.726501982491 0.01 47
"24" 79.4372523014848 33.2021215906832 14.8832420612621 197.528441962563 500 0.01 48
"25" 57.2614441638336 100 37.1377570842952 344.861396424167 332.065098848862 0.01 51
"26" 62.6733641125997 55.8661748431042 25.5760143820629 190.165770114651 500 0.01 54
"27" 72.3843045419791 100 31.0469001411885 164.692995988416 54.5885167744473 0.01 55
"28" 74.6042887588354 100 8.78390318192648 219.228333750287 500 0.01 56
"29" 61.6795853161606 100 36.0499157605629 328.924314460428 194.379075575667 0.01 58
"30" 85.9068178733496 69.254787785738 4.27185166960747 188.651093611666 500 0.01 60
"31" 83.5599821003836 100 20.1770753912804 61.5887094534926 128.066892769854 0.01 61
"32" 67.9148388897545 100 28.6526901071722 2.47915370479519 384.541669833796 0.01 62
"33" 67.1163210663177 100 23.8663258195849 330.787391703732 161.529037294851 0.01 63
"34" 69.3545464111394 43.5104158851459 8.32425193652506 500 500 0.01 64
"35" 64.2492158104969 100 24.8166020257382 489.984755450244 95.2334347954404 0.01 65
"36" 89.0430724248418 19.8912439599829 19.2949459849251 61.9600856896004 500 0.01 66
"37" 57.0385390604834 62.731201272441 20.1702026682405 75.4775836871903 500 0.01 67
"38" 88.295045407183 100 32.871602920624 65.2424690941515 32.0397387196177 0.01 68
"39" 52.2504903123951 13.8093560569461 41.4440189883533 500 500 0.01 70
"40" 83.9448093503958 100 6.10138039466979 282.827644351156 113.436064065863 0.01 71
"41" 47.4502862311577 83.2303089047097 40.868991540878 500 500 0.01 73
"42" 69.1124718617647 100 21.6809552997605 265.287620068986 256.762319055895 0.01 76
"43" 81.8305080150502 100 29.6390874540037 146.15268372646 1 0.01 79
"44" 96.6519332971493 100 7.39581616859816 110.196392105885 186.181398646296 0.01 80
"45" 64.9840454178649 100 28.0731159958782 340.774616881492 156.993717037344 0.01 83
"46" 63.4055498842423 100 21.3675715580019 334.91121710399 341.169736412903 0.01 86
"47" 51.82591395025 100 71.4580452560202 197.215107831932 298.961857208342 0.01 87
"48" 83.4043336141998 40.1157714986419 5.69470338181543 500 140.710234766466 0.01 88
"49" 73.9524855282209 100 24.3156151871133 284.251578711997 39.2093295769909 0.01 90
"50" 75.6421522912194 100 10.9403966027924 216.337083943809 377.284778394342 0.01 91
"51" 57.5388508367105 100 12.2478509481129 288.417720569771 500 0.01 93
"52" 61.7846792514954 31.2628560322993 33.7916003335195 500 260.698193123132 0.01 95
"53" 56.6191960872893 100 45.57533969691 496.757122892587 66.5068836620314 0.01 96
"54" 73.0054230116011 96.9709999154927 3.52525101459353 500 491.235056469866 0.01 97
"55" 90.5263509416154 100 12.4848923386959 37.2772964728747 269.426159240414 0.01 98
"56" 66.5469133768213 15.4887176165738 28.0040942023842 500 485.956605119838 0.01 100
"57" 62.6658785164961 56.7028556618078 23.0981090707676 317.113657750341 500 0.01 104
"58" 39.6924672902574 83.402091837707 88.5869444972615 500 500 0.01 107
"59" 48.5973611692486 100 62.1620827418876 255.631998374376 500 0.01 111
"60" 78.1028377499283 100 31.8709041140411 112.439831784091 23.0404604843407 0.01 114
"61" 37.6548260633719 100 25.8965773319541 131.991161753452 76.5857478630305 0.01 115
"62" 59.1567537637171 100 28.4593305991641 381.663860486866 396.058635990582 0.01 117
"63" 79.6850932055984 97.5946668031409 8.12133870398942 160.134987372889 500 0.01 118
"64" 66.4737246913118 100 11.1804765917848 375.581107774952 420.84346801196 0.01 120
"65" 100.000406016784 100 6.68338992253828 67.1420027448594 229.368073818348 0.01 124
"66" 54.8511040427965 100 73.1071654041408 347.586099162356 19.9984880957446 0.01 128
"67" 82.2190372356578 31.2446100696686 8.73407707650623 500 216.981700292323 0.01 130
"68" 86.8299994462846 100 8.37832880310367 119.030628373889 368.085752890293 0.01 131
"69" 58.9797949606389 100 41.8031693246945 98.6218069045793 74.2394531386404 0.01 201
"70" 48.1041933729999 58.4028196541069 65.1532421318273 140.795868467062 500 0.01 203
"71" 53.3131559259913 100 22.9499807254148 453.034165061317 500 0.01 207
"72" 52.096262774697 100 46.858541556127 338.362928240878 450.671217871126 0.01 210
"73" 72.0709553122243 100 30.8787522598642 64.2395990989348 146.18112712428 0.01 218
"74" 51.3725163015494 79.554538454964 27.2522887625392 462.823990554535 500 0.01 219
"75" 51.6715332045541 71.4966615757226 66.8837184895419 500 106.096792970551 0.01 221
"76" 77.4281656155995 39.4733348963678 8.95599031631426 500 249.282122013142 0.01 223
"77" 63.8860812721712 100 15.3708092461132 395.070007325688 490.481175320026 0.01 225
"78" 71.0315433277596 100 29.1865548491793 298.05929310956 47.6204753655239 0.01 226
"79" 58.6977696882371 45.4328732674566 11.671175959392 500 500 0.01 229
"80" 54.3117513967597 41.6592009104232 39.7823656560913 471.921249844019 500 0.01 232
"81" 69.7792667922766 100 37.2629827713941 176.403597752897 36.6449778831055 0.01 236
"82" 66.1923360609584 85.8120681066966 19.5167820895452 145.034530446021 500 0.01 237
"83" 75.6763128118856 100 31.773919462812 200.100448746697 8.43412961631978 0.01 238
