"V1" "V2" "V3" "V4" "V5" "V6"
"1" 68.6327698421543 70.2876167523683 23.4061662961951 500 48.0140232041754 3
"2" 90.9748717833636 31.8952395224783 8.38833511393173 500 65.8959699353064 6
"3" 49.5667661943778 100 74.5825720943273 343.545461087542 5.90597352940879 8
"4" 100.811494094943 100 8.25258524748669 224.274844609924 1 9
"5" 109.826993486291 100 7.12737527266845 101.970947079987 1 13
"6" 57.015257877567 100 96.3328092671489 252.987867218016 1 14
"7" 103.71268164051 100 1.1620139677967 337.453685012047 1 16
"8" 80.2631887235869 100 21.287052030658 129.035706953833 1 17
"9" 76.6039625512925 100 10.5294288581778 495.68902346546 3.34180059652609 23
"10" 83.3607180872821 100 26.8617354844886 157.046544870774 1 27
"11" 83.5679251723153 100 58.9608354952285 54.6507159820621 1.39562664886168 28
"12" 76.0172359177387 40.2203571918881 11.4329708017377 500 61.1148994750732 29
"13" 76.4137344588782 100 33.4906278202062 137.923846108677 1 30
"14" 122.591845854525 100 2.38703738129567 165.594928431398 1 32
"15" 64.5935626927774 100 30.212516448526 411.411381786492 7.25472725435873 33
"16" 101.662119107987 100 4.51287137484796 226.678607424867 1.7496060975883 34
"17" 69.3078227615021 57.8690598586274 19.6389064068826 500 55.0021082564687 36
"18" 80.2309324280388 100 30.42404656935 158.080189708452 2.22712151767722 37
"19" 87.2170373331377 100 4.35554717347663 492.877701314102 8.4106956202687 39
"20" 60.4758003718117 91.6339518732768 35.3086468280342 500 46.725783234819 40
"21" 94.4490781067203 100 10.8275886897581 264.08529095722 1 43
"22" 71.0214905199079 95.216367054224 11.7052199239627 500 47.525731115175 44
"23" 80.885650712151 100 7.54133508685379 500 2.62951654816526 47
"24" 89.0682018381661 13.5249411325075 5.81011908858378 500 155.505389194828 48
"25" 78.8796710139036 100 10.6881307353387 499.276765092675 1 51
"26" 75.495840208431 100 16.7267865469507 280.639139835055 1 54
"27" 87.9680141299726 100 10.565540631022 275.27046583906 1 55
"28" 78.843548902986 100 24.1801616489434 213.534754706855 1 56
"29" 99.0701931613316 100 9.87157947884886 190.442790774997 2.29442577047327 58
"30" 100.430994554289 100 12.2166737396049 164.89095289998 1 60
"31" 86.5291445093826 100 23.0481258113862 105.056236902892 1 61
"32" 86.1275584926623 100 1.64153095398302 500 4.61407454954132 62
"33" 87.4872693195045 66.4603557844538 2.92829398557066 500 78.0192406256481 63
"34" 96.4689830777623 100 21.3769398119253 96.3090393733463 2.89208862309569 64
"35" 98.2659161177022 100 12.9917982615641 122.045287736304 1 65
"36" 97.1196727801122 100 4.81685444503245 331.865805828577 7.96238660875235 66
"37" 62.7641610463668 100 27.8177580656306 207.206954636386 2.54279805411021 67
"38" 105.696318075949 100 17.2568591368132 70.4774804240347 1 68
"39" 65.5669070880141 100 18.5535795283394 500 36.7414816549154 70
"40" 75.5329925468558 100 18.4844576973443 215.003759254554 1 71
"41" 80.3167848651873 30.2447941602219 13.5205485265484 500 51.2950155808221 73
"42" 81.3053122916721 100 23.1360066469792 199.306003750983 1 76
"43" 57.1103372790544 100 98.7582784726258 200.981540753957 1 79
"44" 72.629450734813 42.5626833509985 20.9451421434637 500 54.5262317426955 80
"45" 72.5817719481784 100 22.5562691514465 364.151646414053 5.45181619123094 83
"46" 85.9408005625039 100 8.94678320568288 361.903211056055 1 86
"47" 84.1612735350263 100 16.2014347907947 256.111069287177 1 87
"48" 58.3310620033178 93.4373389079147 36.002347486563 500 44.5404846303008 88
"49" 110.729133082708 100 8.48186909658109 102.876721277366 1 90
"50" 116.475737388724 100 0.802505858644872 219.254743625386 1 91
"51" 79.3840500743556 100 9.54282587715243 279.227539860861 3.46234820899594 93
"52" 73.0418235313474 57.5811560903825 18.9956622852034 500 40.3592687910058 95
"53" 63.9503817652027 100 25.0057765172444 500 31.2731354972795 96
"54" 79.7172679800677 100 15.9391028373649 354.382373042167 1 97
