"V1" "V2" "V3" "V4"
"1" 264.186151239017 8.32762960317965 0.794308183559736 3
"2" 265.596643981525 2.33238531217937 1.30581985164065 6
"3" 190.898687605699 13.8224031908905 3.64355416974605 8
"4" 240.133878577546 15.0852501814926 2.443786141892 9
"5" 264.509077723049 4.42040702893515 2.45528799184849 13
"6" 189.231915733241 51.333149415052 3.62837981391676 14
"7" 251.436967550407 3.46847442493388 1.11305350723183 16
"8" 203.896368402097 16.9046543610414 3.59486493334005 17
"9" 252.457319470659 5.13810226847902 0.996199737268541 23
"10" 275.080703574055 4.08376630474205 2.58428498937478 27
"11" 233.554458059743 7.1971915887881 2.9339171413533 28
"12" 209.789144734056 12.5800850614755 1.30716423045497 29
"13" 208.902135017605 32.365150714009 3.36421736603962 30
"14" 276.568552940471 4.14211155653115 0.254863134513837 32
"15" 209.159652153953 26.0293463226125 5.44449283950475 33
"16" 247.3624803964 16.7368078503113 1.67332030454817 34
"17" 159.609933213256 34.9573854475709 11.490052054889 36
"18" 227.956274780568 10.0873171309773 2.60411296369659 37
"19" 239.559299255419 11.2412736827326 0.948493063480365 39
"20" 288.371566786514 7.2406205887781 0.785177717010252 40
"21" 239.715195255014 5.38774905195132 2.07750763650861 43
"22" 255.283691912805 9.99813496860498 0.77527645469483 44
"23" 236.119033897982 6.42691920086494 1.58207489138908 47
"24" 280.195444675605 9.7163460073339 0.500905076939611 48
"25" 203.217872906914 15.2355448433472 5.91311159721422 51
"26" 212.031275873333 6.76369767192093 2.52177062139281 54
"27" 212.379901639444 16.2315774501958 5.82568813733261 55
"28" 209.086995721161 33.9033778426785 2.81667495596068 56
"29" 206.0927917852 31.6188834051049 2.71614274498433 58
"30" 174.209552369855 33.327005279973 18.3252409549214 60
"31" 250.566280036346 1.86351358885244 0.848325389103312 61
"32" 213.122539275902 5.04561650980733 3.28676862552524 62
"33" 226.224977246694 27.0092624650066 3.42687460208662 63
"34" 244.928201680664 14.3164807809146 4.12211456867117 64
"35" 217.699360632512 8.65373206121245 2.37792063028233 65
"36" 251.406054799129 7.33429496961846 0.821195247618663 66
"37" 163.531105002082 29.679724367336 5.51831246138832 67
"38" 236.188012162659 1.17691452510356 1.81778456013596 68
"39" 205.757841065167 14.4102028148256 4.72791765380935 70
"40" 235.228730921676 7.90728637226859 2.15696501537938 71
"41" 276.137914610963 15.1755849475117 1.63603169022284 73
"42" 228.383003993086 14.0145552982468 3.1057736449917 76
"43" 248.204221156595 8.24720752133026 2.0968330235448 79
"44" 255.61425856354 0.250970425511459 1.15823597827457 80
"45" 308.648529585538 0.806038332326695 0.211746033960245 83
"46" 252.602625503297 2.69925803179684 1.65966892652765 86
"47" 219.807147533072 7.0572247702386 2.57619564210049 87
"48" 189.366530790596 30.0620808763945 7.40494309106458 88
"49" 168.635549349096 31.0649542520817 5.74078689039696 90
"50" 220.82332071903 16.2869160322504 4.05264701682194 91
"51" 238.896395013583 4.65827491500891 0.468295408351237 93
"52" 304.485440774137 3.07550482662861 0.413465607478813 95
"53" 262.827656593095 4.73256787771515 1.7520702626847 96
"54" 236.423786291594 8.53329077628356 1.10967890695284 97
"55" 287.322329797871 8.19879124480209 0.416594962690541 98
"56" 234.831272207892 10.104389093558 1.0271348059809 100
"57" 237.662258524125 7.21767519016241 1.73928869140793 104
"58" 258.355103119973 4.16825341947938 3.25108027383981 107
"59" 276.222947600495 2.70357286433206 0.653491070078972 111
"60" 232.148294030966 0.445884408735007 1.69510790390039 114
"61" 123.806286519499 14.8156644566509 0.227770321948774 115
"62" 183.388671364457 29.4146885114073 6.02610109126901 117
"63" 259.101069022343 0.704262724373799 0.786362157260345 118
"64" 254.986986399685 11.2067503112058 1.63260391837088 120
"65" 226.458335193005 5.17193009272795 2.54852992599235 124
"66" 207.131421096263 20.4412943374438 4.42487952623804 128
"67" 285.788226119613 5.21965090878052 1.30649316293958 130
"68" 236.370278678416 18.090813742289 2.31569645659334 131
"69" 227.067658297678 2.96654014444002 1.1455088518257 201
"70" 259.756240416681 2.51147742362731 0.636711223133971 203
"71" 257.729264224117 2.45788795223739 1.85158713082628 207
"72" 235.091562426358 22.5721067558257 0.715139692520822 210
"73" 235.657597311563 8.65050719592581 0.650904483468591 218
"74" 222.784042386969 4.4039385977928 2.0307095384525 219
"75" 223.825538317891 9.13317905098222 1.85536844832703 221
"76" 97.5766694901462 100 100 223
"77" 215.120323791531 7.38971535926916 3.36146540006782 225
"78" 229.879374198284 12.3588376825331 2.89323873747954 226
"79" 194.278718594006 1.7375862359186 7.90871497866906 229
"80" 236.206373970232 8.90554889643754 2.22614654497479 232
"81" 230.869052983974 1.50692173660311 2.02370895332829 236
"82" 251.86646032769 5.34175843255866 4.24238825592782 237
"83" 241.381337154757 7.78733071745704 3.26291911689461 238
"84" 256.647776033881 5.22734061428425 0.434629310786304 243
"85" 265.134796069815 4.27701637046234 2.0376029936994 244
"86" 275.200107732576 6.96906496510855 1.31102360841829 245
"87" 215.238208060623 2.37985512985689 0.922003207268664 247
"88" 254.028375869741 3.95086643173699 1.55868628831296 249
"89" 300.801222052957 14.7039505699898 0.440080702842001 250
"90" 265.92998377446 15.4932298541205 1.00464170290574 252
"91" 270.004212427037 10.9020121799461 1.05461934623754 253
"92" 165.486981734747 31.1533200418603 7.83242187722321 255
"93" 190.283649181492 13.2758698406017 12.143848128669 263
"94" 233.997951246665 7.06451667688166 2.4725148184928 269
"95" 226.314969830415 4.76049843047855 2.36341818848015 271
"96" 261.11657347854 1.09477796658956 0.633170687241474 272
