"V1" "V2" "V3" "V4" "V5" "V6"
"1" 92.8734853261067 100 23.3578604776412 270.402100606015 260.475689618009 3
"2" 70.471361278373 100 11.085280195525 500 211.262558744737 6
"3" 59.6858950873968 100 17.930506246747 216.021317708825 405.076101114788 8
"4" 205.581381782984 16.7010116675285 6.83195922879394 32.0714226462908 74.6080164564823 9
"5" 97.7073599043075 100 7.61446273199949 159.211374801181 210.318453025998 13
"6" 103.481324184689 100 44.4757122883626 305.761565023052 1 14
"7" 58.9611901280771 100 42.38842853315 443.947317768822 307.780865845072 16
"8" 145.099309653219 58.2711573772866 4.78137539122927 247.140493935834 113.076303245445 17
"9" 193.592604081327 4.81684479535128 9.71856832008131 63.4290968656761 91.275620683518 23
"10" 78.5508428793904 100 31.9740653125803 335.565124386972 160.087939567925 27
"11" 151.942744331655 54.7285931764926 18.1345604432922 69.4490534618874 178.337288794052 28
"12" 88.2233952944201 51.1822238637142 7.88737295530316 39.720206301559 500 29
"13" 95.3201397072946 100 3.80913166722988 322.924516591468 279.502308829759 30
"14" 135.969631876746 79.8277033259684 23.8466667605112 40.3204720968033 257.962708260882 32
"15" 171.721485656439 28.5526159298402 13.2214353683081 143.599877973466 1 33
"16" 96.8795420197242 51.5801439602824 9.93349418986979 208.740289979262 500 34
"17" 207.181701032693 25.557582469088 4.17490173078201 36.0871537223119 28.4336189857704 36
"18" 169.908048206974 57.275184970581 9.22605575886925 55.9290931829103 117.922952773174 37
"19" 100.200414197752 100 23.960700467382 119.508513892151 262.442858292566 39
"20" 86.4083641979395 100 5.52749145559033 439.491555691348 409.424859603744 40
"21" 130.499132835441 54.2143261696069 27.9998625001769 295.338182357605 144.234611749763 43
"22" 79.0093528343172 66.3007592874 15.2292371646536 33.8362669093046 500 44
"23" 112.009242961656 67.7232579948026 19.724905968151 500 57.4568746304509 47
"24" 75.3459876114618 41.8669164585908 25.9216860179766 78.2495220853492 500 48
"25" 137.690794623949 100 18.4931153410671 195.366965160702 52.3140181696673 51
"26" 92.2761320758746 100 28.2024143462072 197.564796781833 177.922913680538 54
"27" 66.0314295091776 89.3969776185214 60.5440781876013 500 159.800340843498 55
"28" 240.385397496024 12.1384137041681 3.13004598338731 15.8706474905663 24.26263113598 56
"29" 149.675634051617 59.6715044298296 19.0346994443006 97.7564650481951 100.315869789377 58
"30" 221.110169777261 34.6951194550734 2.17575597927084 67.7806572239997 1 60
"31" 55.5572811907374 14.9424311767407 39.3856217407369 500 500 61
"32" 69.6178603658677 19.1095803046768 66.1200995785485 500 500 62
"33" 57.5596032573309 32.0244416100968 43.2975019662928 369.174863059787 500 63
"34" 91.8703539772793 33.752850762829 10.8957341173615 500 208.985546969242 64
"35" 100.873721124271 44.8186423017549 54.9539450219059 500 500 65
"36" 145.420253794618 64.9132108915138 14.6467624297441 130.120477853912 181.09735377309 66
"37" 170.587437960597 12.1045575452715 5.68815889424729 33.5425496353384 12.310518964749 67
"38" 68.2826867996385 100 28.9838558051425 1 500 68
"39" 178.491437019731 36.9244101067273 2.37131361731141 39.7139110381776 254.682889862677 70
"40" 76.3788791740759 100 3.08647198994857 455.775050385365 167.090549002863 71
"41" 96.2649676918014 100 40.0393317784391 270.644957296958 196.461949684343 73
"42" 99.5086306196922 49.2527800930802 47.5529353052243 500 308.157689492344 76
"43" 100.476865089972 100 10.8550885279887 193.522394038357 186.274838898507 79
"44" 70.3933331808264 58.1911514419167 24.3746344627013 85.4491270670655 500 80
"45" 65.7374392811085 69.953468582936 66.3789387475703 500 186.355226302526 83
"46" 260.202155716479 7.31759365501354 1.2200232093078 30.2510465270131 13.384204801384 86
"47" 210.799957132184 9.19728369917835 5.19139413594061 57.6814595595561 52.4076906563223 87
"48" 74.9717367228986 100 20.6613946623824 241.13563428987 315.269804179942 88
"49" 39.6021315972214 74.2942055932608 93.8104001347174 500 500 90
"50" 51.9971069873746 47.8383121524933 50.8664217366449 500 500 91
"51" 149.892869594367 27.9434244234175 9.34481261066127 192.559155758288 1 93
"52" 123.656310060295 52.877683504029 14.8196681425171 500 193.836369418777 95
"53" 70.8615199365176 100 38.6381240132515 152.009469982181 500 96
"54" 140.34769090044 79.1202793391239 17.5380556342291 150.660704010462 188.461914259444 97
"55" 164.886753675222 57.4017328163632 13.1782274874041 65.6142190723913 77.4281761519369 98
"56" 91.6852198336714 100 15.4999569584285 277.212047331674 307.929010698929 100
"57" 150.001690257378 53.9130311272519 12.8194659200259 24.8330648558725 213.769632502561 104
"58" 78.9658052748815 100 17.1437271361311 248.048167066114 157.924664922165 107
"59" 127.797635609819 15.7841837169116 23.0540024238898 342.551205248199 278.521755703784 111
"60" 100.756035135504 100 37.912765414249 363.854367507847 238.464628155451 114
"61" 69.7821179662161 61.8442688791083 22.6178196560333 140.483592927764 168.236391280154 115
"62" 177.35798164546 33.3721421547009 5.36876666739726 174.20502844632 77.2816005703618 117
"63" 166.014664824362 67.8264782806233 8.73963260364715 149.076763431196 1 118
"64" 82.751007942219 28.8033305042157 28.0132773723443 500 370.915408220458 120
"65" 175.217464593567 92.1587096057313 2.03836908528835 105.571924622541 144.098995188173 124
"66" 112.645678528067 60.7699907159973 24.5718354008041 69.7373951189266 500 128
"67" 69.9145370940595 55.9142967395715 23.0164390208601 205.879382164087 500 130
"68" 156.500771084546 100 6.82463719444552 225.502831197956 1 131
"69" 44.2468746666735 62.9803636896382 100 500 40.1587139688282 201
"70" 191.52803783804 17.6976308241919 1.04926578760109 61.6734416235915 61.8256963811786 203
