sID,WM_score
201,7
202,7
203,6
207,6
210,8
215,6
216,6
218,10
219,5
221,8
223,6
225,7
226,7
229,8
232,9
236,7
237,6
238,8
243,8
244,8
245,9
246,7
247,6
249,6
250,9
252,9
253,7
255,5
263,7
269,7
271,7
272,5
274,7
285,11
287,7
288,8
291,8
292,9
297,8
306,7
307,7
308,9
315,6
320,7
322,7
323,8
324,6
329,8
331,6
332,8
333,6
335,8
336,6
337,7
338,7
339,7
340,8
341,9
342,7
343,7
344,7
345,7
346,8
353,7
355,8
358,5
360,8
363,8
364,6
366,8
