sID,trial_number,trial_number_run,run,estimate1,confidence_rating,estimate2,estimate_peer,confidence_peer,estimate1_rt,confidence_rt,estimate2_rt,true_ratio,seen_ratio,nTotal,filler_trial,ITI,nMushrooms,nBlue,nRed
8,5,5,prac,20,3,20,19,2,7.295199010000033,1.952796009999929,3.527312660000007,0.5,0.4,5,1,1.8,1 1 1 1 1,1 0 0 1 0,0 1 1 0 1
8,6,6,prac,25,3,25,9,2,14.278168209999421,3.169209110000338,6.492730859999938,0.125,0.13333333333333333,45,0,1.5,9 9 9 9 9,1 0 3 1 1,8 9 6 8 8
8,7,7,prac,88,2,85,73,2,6.962300409999898,2.303741810000247,8.452988949999963,0.875,0.8666666666666667,45,0,1.9,9 9 9 9 9,7 8 8 8 8,2 1 1 1 1
8,8,8,prac,41,3,41,58,3,19.96296061000021,2.9861659100001816,12.963710060000267,0.625,0.6,5,0,2,1 1 1 1 1,1 1 0 0 1,0 0 1 1 0
8,9,9,prac,36,3,32,18,2,10.978385609999805,2.085569509999914,2.4210470500001975,0.125,0.2,5,0,1.9,1 1 1 1 1,0 1 0 0 0,1 0 1 1 1
8,10,10,prac,49,2,49,64,1,5.262588010000854,1.8357197099999212,3.8180483499995717,0.625,0.6222222222222222,45,0,1.6,9 9 9 9 9,4 5 6 7 6,5 4 3 2 3
8,11,11,prac,97,3,97,95,3,15.828780309999274,1.6859679100002722,5.496800160000021,1,1,45,1,1.9,9 9 9 9 9,9 9 9 9 9,0 0 0 0 0
8,12,12,prac,20,3,20,75,1,7.496834210000088,4.253494210000099,9.184911450000072,0.875,0.8,5,1,1.7,1 1 1 1 1,1 1 1 1 0,0 0 0 0 1
8,13,13,prac,40,3,33,25,3,5.828798609999922,1.8191334100001768,14.330068359999586,0.375,0.4,5,0,1.9,1 1 1 1 1,0 1 0 0 1,1 0 1 1 0
8,14,14,prac,80,3,89,97,1,6.812571110000135,2.1690682099997503,13.987404949999927,0.875,0.8,5,0,1.9,1 1 1 1 1,1 1 1 0 1,0 0 0 1 0
8,15,15,prac,71,2,63,54,2,4.6965450099996815,5.83611861000054,7.485525550000602,0.625,0.6222222222222222,45,0,1.9,9 9 9 9 9,6 3 5 6 8,3 6 4 3 1
9,1,1,prac,70,2,60,53,3,15.1967123600002,3.90275986000006,17.8239479600002,0.625,0.6222222222222222,45,0,1.6,9 9 9 9 9,6 6 5 4 7,3 3 4 5 2
