sID,trial_number,trial_number_run,run,estimate1,estimate2,estimate_peer,confidence_peer,estimate1_rt,estimate2_rt,true_ratio,seen_ratio,nTotal,filler_trial,ITI,nMushrooms,nBlue,nRed,s,strategy,confidence_rating
3,32,7,2,81,72,64,2,7.56326953000098,2.57303174000299,0.75,0.8,5,0,4.5,1 1 1 1 1,1 1 0 1 1,0 0 1 0 0,0.5294117647058824,compromise,1.25
3,33,8,2,11,19,26,3,1.9965021300013177,2.03593426999942,0.25,0.24444444444444444,45,0,5.2,9 9 9 9 9,1 4 0 4 2,8 5 9 5 7,0.5333333333333333,compromise,2.4285714285714284
3,34,9,2,6,13,23,2,2.1947405299997627,4.1312565699991,0.125,0.13333333333333333,45,0,5.6,9 9 9 9 9,2 0 0 2 2,7 9 9 7 7,0.4117647058823529,compromise,2.4285714285714284
3,35,10,2,14,8,1,2,5.865707730001304,2.53710814000078,0.125,0.2,5,0,4.7,1 1 1 1 1,0 0 1 0 0,1 1 0 1 1,0.46153846153846156,compromise,1.25
3,36,11,2,40,40,40,2,8.413206930001252,4.61910914000146,0.375,0.4,5,1,5.7,1 1 1 1 1,1 0 0 0 1,0 1 1 1 0,NA,NA,1.25
3,37,12,2,67,80,83,3,3.257304730001124,3.55163554000137,0.75,0.7555555555555555,45,0,5.5,9 9 9 9 9,6 5 6 9 8,3 4 3 0 1,0.8125,compromise,2.4285714285714284
3,38,13,2,5,10,20,3,1.5699565300001268,1.33120914000028,0.125,0.13333333333333333,45,0,4.7,9 9 9 9 9,0 3 1 1 1,9 6 8 8 8,0.3333333333333333,compromise,2.4285714285714284
3,39,14,2,12,50,88,3,3.159204530000352,4.76077054000052,0.125,0.2,5,1,5.5,1 1 1 1 1,0 0 0 1 0,1 1 1 0 1,0.5,compromise,1.25
3,40,15,2,12,15,28,2,2.252933629999461,2.05493693999961,0.25,0.24444444444444444,45,0,5.2,9 9 9 9 9,1 4 2 3 1,8 5 7 6 8,0.1875,compromise,2.4285714285714284
3,41,16,2,5,6,20,1,2.0201824300002045,2.90020874000038,0.125,0.13333333333333333,45,0,4.1,9 9 9 9 9,2 3 1 0 0,7 6 8 9 9,0.06666666666666667,compromise,2.4285714285714284
3,42,17,2,31,34,47,1,2.415765530000499,2.74087434000103,0.375,0.37777777777777777,45,0,4,9 9 9 9 9,5 1 2 5 4,4 8 7 4 5,0.1875,compromise,2.4285714285714284
3,43,18,2,55,55,55,1,6.466001029999461,3.14370143999986,0.625,0.6222222222222222,45,1,4.3,9 9 9 9 9,7 7 5 4 5,2 2 4 5 4,NA,NA,2.4285714285714284
3,44,19,2,10,12,27,1,3.452877030000309,3.45714453999972,0.125,0.13333333333333333,45,0,5.2,9 9 9 9 9,1 2 2 1 0,8 7 7 8 9,0.11764705882352941,compromise,2.4285714285714284
3,45,20,2,20,17,5,1,6.620076830000471,2.65477663999991,0.125,0.2,5,0,4.3,1 1 1 1 1,0 0 0 1 0,1 1 1 0 1,0.2,compromise,1.25
3,46,21,2,29,40,47,2,7.871502930000133,2.73983774000044,0.375,0.4,5,0,5.5,1 1 1 1 1,0 0 1 1 0,1 1 0 0 1,0.6111111111111112,compromise,1.25
3,47,22,2,55,58,71,1,3.383854830000928,3.25194493999879,0.625,0.6222222222222222,45,0,4.8,9 9 9 9 9,6 5 5 5 7,3 4 4 4 2,0.1875,compromise,2.4285714285714284
3,48,23,2,80,69,65,3,4.394700130000274,3.82628044000012,0.75,0.8,5,0,5.8,1 1 1 1 1,0 1 1 1 1,1 0 0 0 0,0.7333333333333333,compromise,1.25
3,49,24,2,65,56,50,3,6.207664430001387,3.74938664000001,0.625,0.6,5,0,4.4,1 1 1 1 1,0 1 1 0 1,1 0 0 1 0,0.6,compromise,1.25
3,50,25,2,35,36,50,1,6.549174730002051,5.80688394000208,0.375,0.4,5,0,4.1,1 1 1 1 1,1 1 0 0 0,0 0 1 1 1,0.06666666666666667,compromise,1.25
3,51,1,3,55,62,70,3,4.874350450001657,4.66351144999862,0.625,0.6222222222222222,45,0,5.4,9 9 9 9 9,6 6 5 3 8,3 3 4 6 1,0.4666666666666667,compromise,2.4285714285714284
3,52,2,3,60,62,75,1,4.45338824999817,2.73921189999783,0.625,0.6,5,0,4.5,1 1 1 1 1,1 1 0 1 0,0 0 1 0 1,0.13333333333333333,compromise,1.25
3,53,3,3,20,20,21,1,6.657709049999539,2.15171349999946,0.25,0.2,5,1,4.2,1 1 1 1 1,0 1 0 0 0,1 0 1 1 1,0,stay,1.25
3,54,4,3,20,30,35,2,4.266032450001148,2.92626340000061,0.25,0.2,5,0,4.6,1 1 1 1 1,1 0 0 0 0,0 1 1 1 1,0.6666666666666666,compromise,1.25
3,55,5,3,85,85,67,1,2.899249449999843,3.45977225000024,0.75,0.7555555555555555,45,0,4.7,9 9 9 9 9,8 8 7 6 5,1 1 2 3 4,-0,stay,2.4285714285714284
3,56,6,3,20,28,35,1,4.037117949999811,3.09069634999651,0.25,0.2,5,0,5.5,1 1 1 1 1,0 0 1 0 0,1 1 0 1 1,0.5333333333333333,compromise,1.25
3,57,7,3,60,70,75,2,2.9159370500001387,3.22517259999768,0.625,0.6,5,0,4.6,1 1 1 1 1,1 0 0 1 1,0 1 1 0 0,0.6666666666666666,compromise,1.25
3,58,8,3,80,49,24,2,2.7866057499995804,8.54021429999921,0.75,0.8,5,1,4.6,1 1 1 1 1,1 0 1 1 1,0 1 0 0 0,0.5535714285714286,compromise,1.25
3,59,9,3,78,75,60,2,3.4334241499982454,4.06826570000158,0.75,0.7555555555555555,45,0,5.2,9 9 9 9 9,8 7 6 8 5,1 2 3 1 4,0.16666666666666666,compromise,2.4285714285714284
3,60,10,3,60,74,75,3,4.307730350001293,2.93290529999831,0.625,0.6,5,0,4.5,1 1 1 1 1,0 0 1 1 1,1 1 0 0 0,0.9333333333333333,compromise,1.25
3,61,11,3,20,33,35,3,3.4700160499996855,4.63597300000038,0.25,0.2,5,0,4.6,1 1 1 1 1,0 0 1 0 0,1 1 0 1 1,0.8666666666666667,compromise,1.25
